Attraction_Name,Nearby_Place,Distance_KM,Category,Rating
Desi Spot near Emerald Falls of Jaipur,Emerald Falls of Jaipur,1.0,Food & Dining,4.4
Souvenir Hub near Emerald Falls of Jaipur,Emerald Falls of Jaipur,0.7,Shopping,3.9
Hiking Point near Emerald Falls of Jaipur,Emerald Falls of Jaipur,1.6,Viewpoint,3.9
Chai Villa Treats near Jaipur Imperial Gateway,Jaipur Imperial Gateway,1.7,Food & Dining,4.1
Traditional Cooperative near Jaipur Imperial Gateway,Jaipur Imperial Gateway,1.0,Shopping,3.8
Walkway Park near Jaipur Imperial Gateway,Jaipur Imperial Gateway,4.0,Activity,4.0
Chai Villa Spot near Tranquil Jaipur Temple,Tranquil Jaipur Temple,0.7,Food & Dining,4.1
Traditional Hub near Tranquil Jaipur Temple,Tranquil Jaipur Temple,1.2,Shopping,3.6
Local Market Corner near Tranquil Jaipur Temple,Tranquil Jaipur Temple,3.7,Local Market,3.7
Royal Bakery near Extreme Camping Ridge of Jaipur,Extreme Camping Ridge of Jaipur,1.9,Food & Dining,4.2
Artisans Corner near Extreme Camping Ridge of Jaipur,Extreme Camping Ridge of Jaipur,1.5,Shopping,4.6
Hiking Point near Extreme Camping Ridge of Jaipur,Extreme Camping Ridge of Jaipur,1.5,Viewpoint,5.0
Street Bakery near Jaipur Folk Folk Centre,Jaipur Folk Folk Centre,0.8,Food & Dining,3.6
Ethnic Flea Market near Jaipur Folk Folk Centre,Jaipur Folk Folk Centre,2.8,Shopping,4.4
Transit Corner near Jaipur Folk Folk Centre,Jaipur Folk Folk Centre,1.9,Transit,4.3
Desi Point near Traditional Jaipur Spices Corner,Traditional Jaipur Spices Corner,1.3,Food & Dining,4.2
Local Hub near Traditional Jaipur Spices Corner,Traditional Jaipur Spices Corner,2.6,Shopping,4.8
Local Market Corner near Traditional Jaipur Spices Corner,Traditional Jaipur Spices Corner,4.1,Local Market,3.7
The Spicy Treats near Authentic Sweet Alley of Jaipur,Authentic Sweet Alley of Jaipur,2.5,Food & Dining,4.9
Handicrafts Flea Market near Authentic Sweet Alley of Jaipur,Authentic Sweet Alley of Jaipur,3.0,Shopping,4.4
Local Market Corner near Authentic Sweet Alley of Jaipur,Authentic Sweet Alley of Jaipur,3.8,Local Market,3.8
Street Treats near Jaipur Tech Amusement Park,Jaipur Tech Amusement Park,0.5,Food & Dining,4.9
Bustling Emporium near Jaipur Tech Amusement Park,Jaipur Tech Amusement Park,0.3,Shopping,3.9
Cable Car Station near Jaipur Tech Amusement Park,Jaipur Tech Amusement Park,1.9,Activity,4.7
Laziz Dhaba near Silent Jaipur Cave,Silent Jaipur Cave,2.2,Food & Dining,3.8
Central Hub near Silent Jaipur Cave,Silent Jaipur Cave,3.3,Shopping,3.8
Local Market Corner near Silent Jaipur Cave,Silent Jaipur Cave,1.0,Local Market,5.0
Gourmet Kitchen near Royal Ruin of Jaipur,Royal Ruin of Jaipur,2.3,Food & Dining,3.8
Bustling Arcade near Royal Ruin of Jaipur,Royal Ruin of Jaipur,1.4,Shopping,4.7
Photography Spot near Royal Ruin of Jaipur,Royal Ruin of Jaipur,4.6,Viewpoint,3.7
The Spicy Bakery near Jaipur Tranquil Temple,Jaipur Tranquil Temple,1.5,Food & Dining,4.6
Traditional Market near Jaipur Tranquil Temple,Jaipur Tranquil Temple,2.6,Shopping,4.2
Local Market Corner near Jaipur Tranquil Temple,Jaipur Tranquil Temple,3.8,Local Market,4.3
Desi Bakery near Extreme Jaipur Paragliding Launch,Extreme Jaipur Paragliding Launch,2.4,Food & Dining,4.4
Ethnic Market near Extreme Jaipur Paragliding Launch,Extreme Jaipur Paragliding Launch,2.8,Shopping,4.3
Local Market Corner near Extreme Jaipur Paragliding Launch,Extreme Jaipur Paragliding Launch,1.1,Local Market,3.7
